key,de,en
CURRENCY,€,$
DICE_COMBINATION_CHANCE,Chance,Chance
FINISH,Fertig,Finish
DICE_COMBINATION_FULL_HOUSE,Full House,Full House
SACRIFICE,Opfern,Sacrifice
DICE_COMBINATION_LARGE_STRAIGHT,Große Straße,Large Straight
DICE_COMBINATION_SMALL_STRAIGHT,Kleine Straße,Small Straight
DICE_COMBINATION_YAHTZEE,Kniffel,Yahtzee
DICE_COMBINATION_THREE_OF_A_KIND,Dreierpasch,Three of a Kind
DICE_COMBINATION_LABEL,Würfel Kombination:,Dice Combination:
DICE_COMBINATION_TWO_PAIRS,Zwei Paare,Two Pairs
DICE_COMBINATION_ONE_PAIR,Paar,One Pair
DICE_COMBINATION_FOUR_OF_A_KIND,Viererparsch,Four of a Kind
REMAINING_POINTS,{points} PUNKTE ÜBRIG,{points} REMAINING POINTS
